response,unit,est_intercept,est_slope,se_intercept,se_slope,t_slope,vary_slopes,progressive
net_benefit,households,-1.6610886575295725,-0.03648974670951665,0.27683023685532104,0.18972049234732585,-0.19233424000773724,FALSE,Pr
net_benefit,revenue,3.0050084165767204e-4,-0.42594887425553063,0.17058686720275712,0.11473694051749848,-3.712395261145815,TRUE,Pr
net_benefit,trips,-0.09818346967277748,0.17096149557035964,0.152038932298489,0.10218047986305426,1.6731326355042375,FALSE,Re
net_benefit,users,0.5610448485689712,0.10963272310385136,0.170343197637891,0.1138058490627119,0.9633311820681468,TRUE,Re
net_benefit,vmt,-1.7086348416488544,-0.07448279147145949,0.1501881894010159,0.10224479174673651,-0.7284751643482795,TRUE,Pr
reliability,households,-5.7727923401580545,0.016162428793956886,0.2549275843063444,0.18257504679297365,0.08852485089204913,TRUE,Re
reliability,revenue,-3.755476669914765,-0.39694012221403996,0.13621761154732606,0.09622440501466238,-4.1251501856889154,TRUE,Pr
reliability,trips,-3.6716026758934204,0.04611130010146487,0.11800568194780978,0.08990213254263399,0.5129055206738024,TRUE,Re
reliability,users,-2.9958178277066474,-0.03600913704612307,0.1453098587425483,0.10782567577692631,-0.333956979974047,TRUE,Pr
reliability,vmt,-5.281373336692394,-0.15247015946338424,0.10995331712709151,0.08565773262198911,-1.7799929416324962,TRUE,Pr
revenue,households,-1.8219642319449199,0.21020296425574236,0.24050560229541515,0.16560803732489554,1.2692799676344149,TRUE,Pr
revenue,trips,0.23025756378667078,0.3978462298361928,0.10810545958445286,0.07406330308892894,5.371705193305957,TRUE,Pr
revenue,users,0.9017601787175755,0.31093067630549154,0.13786160255121999,0.09404729843048942,3.3061096011737234,FALSE,Pr
revenue,vmt,-1.5393497365638442,0.2616503955900298,0.10603083440722849,0.07180204247044496,3.6440522663088575,TRUE,Pr
savings,households,-5.337893390647768,0.2504153054725334,0.3122871427084477,0.21970555304315534,1.1397768604571679,TRUE,Re
savings,revenue,-3.48443569593834,-0.13110998631695783,0.13798562050952565,0.09247119276897348,-1.4178468168407652,FALSE,Pr
savings,trips,-3.472177999193889,0.40114251389398814,0.18485254979580856,0.13579100850001122,2.9541169060096863,TRUE,Re
savings,users,-2.8155247635964393,0.32412820027544215,0.21090768133611468,0.15401098473310262,2.104578454823522,TRUE,Re
savings,vmt,-5.186247164772774,0.2142645944721341,0.16880630732953106,0.12532464953058942,1.709676390675532,TRUE,Re
trips,households,-2.30872060075469,0.013625270615962269,0.1870019854514497,0.1310610294183944,0.1039612665673902,TRUE,Re
trips,revenue,-0.23025541733840799,-0.3978490268755728,0.10810516315222955,0.07406239143431487,-5.371809081109955,TRUE,Pr
trips,users,0.678672257677223,-0.07356136490718675,0.06838215927918553,0.04781755992247113,-1.538375547109791,TRUE,Pr
trips,vmt,-1.7038930494439166,-0.17299456680858383,0.076030099674302,0.05372899134010978,-3.2197620408228267,TRUE,-
users,households,-2.9534728468607456,0.040720009482893386,0.15216868723149188,0.10570649998704068,0.3852176496987938,TRUE,Re
users,revenue,-0.9015615755014704,-0.3151635566499068,0.13757258668739933,0.09364100440430724,-3.365657584033882,TRUE,Pr
users,trips,-0.67867154644779,0.0735601750675572,0.06838202521183344,0.047817293685803924,1.538359229422385,TRUE,-
users,vmt,-2.3916753727338698,-0.08964985108297156,0.11043113455603534,0.07810240770122187,-1.1478500307688855,TRUE,Pr
vmt,households,-0.28833680991646576,0.05502673856569687,0.22379432883754607,0.15498803524361557,0.3550386226859637,TRUE,Re
vmt,revenue,1.5393500026374771,-0.2616509543149012,0.10603071225583803,0.07180178564311547,-3.644073082185094,TRUE,Pr
vmt,trips,1.7038944314201538,0.17299427093929717,0.07603013029438183,0.05372922004396304,3.2197428289066448,TRUE,Re
vmt,users,2.3916753727975264,0.089649851140446,0.1104311345457923,0.07810240769733329,1.1478500315619207,TRUE,Re
